train_abhvpptixv|tao lấy trứng dái đập hả m con lol :)
train_ievwakblmj|Tân Lê thế đm mày , giá trị chuyển nhượng cao , tầm ảnh hưởng lớn lại đi xuống clb hạng trung à , clb đó có dám bỏ ra 100 triệu bảng k ? Hay là cr7 phải tự hạ bản thân xuống 30 - 40 triệu . Nói ngu hơn con chó nhà tao
train_niklskeplj|Ngọc Bách ngta bl như thế mà mày nghe đéo hiểu à :)
train_edhcgwstme|Vu Nguyen :) còn nhiều group lắm a , tại con acc chạy group bị khóa mõm mấy ngày nên thôi dùng fb thật share tạm
train_ngrrpkogra|Xuất com 35 ngàn cho t t con dap Cho chứ dung nói ăn cho con này vào bóc lịch di
train_taygugqdvi|những ng có tên mang tiền đến chả cho em với đừng để em phải nói nhiều đừng để đến lúc em cho lên chợ chời đấy nhé ăn đk thì phải chả đk miếng ăn là miếng nhục đấy <URL>
train_gtazggrpcr|Tao ghét cay ghét đắng mấy đứa trộm chó và làm thịt chó
train_myosiiocep|Che che cái me lồn cay vl
train_ivzadvumlm|Liệu có tính phí không . Tính phí là chết con dân
train_llpqwrguvy|Lũ chó chết Trung Quốc chúng bay gian tham độc ác ăn cướp còn già mồm . . . . Đứng là loại chó chết
train_vhkkavwxcz|Thứ ngu dốt . Nhơ nhuốt cho mấy thằng già nảo chó
train_imdzoepsmx|Hoàng Tiến <URL> Phương Thúy . Nhà xe này chặt chém khách gấp 4 lân , kia là mặt vc con chủ , và con già kia là chó giữ nhà
train_svuvqcnnlz|Vk thì nhu nhược , ck thì bất tài vô dụng . Cạn lời
train_msbdjouztb|Ăn nói như thằng điên chứ k phải con người bt , nguyên đồng lương chính của ông có giầu đc k hả mà chê người nghèo .
train_ewvgprtwzd|cai nay dung xam lon a nhi
train_slfzmlsfyv|Đây là hành hạ chẻ nhỏ cho chúng sợ chết khiếp dồi mắc bệnh
train_iyihnmjcwl|Đỗ Thành Vinh sắp giày vàng thứ 6 qbv đang có cơ hội cao đủ hơn chưa đkm mày thằng ngu
train_zojtnsqhwn|Thăng chó tư hình nó di
train_pygkwdfndr|Nó mua bằng cấp mới lên chức chạy chọt các kiểu . . . chứ học hành đéo gì 70 % nhug thằng ngu lđ
train_ijkdlsflnn|Hưng HoàngHoàng lên cả Fõasia rồi kìa . Time để dành biết tôn trọng ngk hơn đi . . . Đừng mở miệng ra là địt này địt nọ . Vì từ đầu chẳng ai đụng chạm hay chửi mình nhé . Thân
train_fpxvhxgnoj|Xin lỗi bản thân vì tao không thể giết chết hết mấy thằng xạo lol !
train_jkeqyqxsmy|Gọi Tên Nhau mày mới là thằng ( con ) ngu hơn con bò
train_aokehbuxwm|Thằng già chó chết
train_vsmvjqgocr|cả lò nhà chúng mày sẽ gặp quả báo , chúng mày ngu lắm con à :)
train_epyeqttnfl|Tao thấy nhãm nhí vãi cức . Quen nhau tot đẹp thì khoe mẽ tao đéo nói , ct xoá ảnh cũng lên fb 😌 . Rêu rao vl
train_ddyazzpdls|Tất nhiên là Vô Diện , vì đclm tướng meta cno cấm hết mẹ rồi còn đâu , pik con dị đi đường thì nó kêu troll game , đúng bọn lol
train_iauedmqyrd|K nói k ai biết thằng ngu chỉ lương lũ tham quan chúng mày cướp lương còn cao hơn G7 ý sso k so sánh lương của công nhân thu nhập của dân hả thằng ngu
train_eptxgrhrgr|1 lũ óc chó đéo có não sủa bậy mà đéo biết suy nghĩ hả . . dân đen tụi tao đéo biết sợ tụi mày hù đâu
train_uqgfdzzuqg|Thằng này phạm tội giết người tử hình nó di
train_hcvzefqzwt|Lê Thị Hồng Dương đm đéo rep tao m
train_dudzhmrivs|ddi tì tưởng đâu việt kiều . hoan nghênh quá hỉ . con chó cái . may đi làm đỉ mẹ đi . tháy mặt chó mày tao đéo ưa
train_chqjpgrrpv|Địt mẹ chúng mày thích chêu chửi ak . địt mẹ chúg mày ăn gì mà ngu z <URL>
train_vsgzfejftd|Thằng già bưng bô mà uống thay nhau cho phát triển bộ não óc chó lợn mồm
train_hkxupveydu|Mặt L của Hai vợ chồng con này nổi tiếng rồi có đi cả cái đất nước này cũng chả ai dám cho mướn mặt bằng để mà làm ăn , mà có cho mướn thì cũng éo có ai dám ghé ăn . Về quê mà chăn trâu mai ra còn đất sống . Hỗ báo cáo chồn cho cố vào bốn mươi mấy tuổi đời rồi mà còn ngu hơn con chó .
train_xdswrvtuwk|Lại thêm một con chó ghẻ sủa mướn cho lũ súc vật chó đẻ CS má mầy mở mắt to ra coi lại hiện tình đất nước thối nát xắp mất nước dân thì bị đảng chó đẻ cướp đất đai giờ này mở miệng thúi mầy sủa bậy thằng Binh an đi chết đi thằng ngu
train_diaxgputuj|Chuẩn mẹ nó r . Đến lúc bị thịt xong thì than vãn này nọ . Trên đời làm gì có trai tốt :) đúng bọn đàn bà
train_kbusyjcihn|Bớt sủa mà hãy hành động đi
train_uuxhtwycls|Tb còn đell đc . ngu vl
train_owwiivcwuv|Có thì bớt lại nhan m Ngô Hữu
train_cenmofclpz|Thưởng nóng cho anh em nào biết con chó này . Địt cái lồn mẹ nhà mày mày bảo đăng bậy thì ra đây gặp bố . Bố nhét cứt vào mồm mày luôn . <URL>
train_oxvxuowvgn|thế mày nghỉ là gì chả nhẻ nói dân óc chó
train_zgaoqsnmyk|1 thằng bóng . 1 con jet . 1 thằng khắm . 1 con chó . 1 thằng tèo . 1 thằng ngáo
train_darpoprfug|Mịa nó nay cuối tuần tao về nhà chơi mà đm sáng sớm nó đã cúp điện rồi ! ! Fuckkk ! ! 🖕 🏻 🖕 🏻 🖕 🏻
train_kdkwhlnesj|Xiang Xinh Xắn chuẩn r b . . . s k đi cướp của ng giàu ý . . . cướp của ng nghèo ng đi chữa bệnh xong lại vác mỏ kêu vì nghèo . . . xaok chó
train_szgbapkamk|Hiep Nguyen <URL> Tâm . NGHE MẮC ỊA . . 👉 Thế căn nhà 240 Pasteur , Tp . HCM cho thuê 418 . 000 . 000vnd / tháng là ai hy sinh cho ai ? . 👉 Thế 64 chiến sĩ Gạc Ma vì ai mà chết . 👉 Thế thằng nào sau cuộc chiến tranh Biên Giới và Gạc Ma 1 năm sau liền chạy qua liếm cứt thằng Trung cộng để cầu được ban giao . 👉 Thế thằng nào lộng ngôn nói địch bắn 1 một viên đạn ta bắn lại bằng hữu nghị vv . . . 👉 TAY NHUỐM ĐẦY MÁU ĐỒNG BÀO MÁ MỒM CỨ ĂNG ẲNG NHƯ LŨ CHÓ HOANG NGHE MẮC ỊA
train_eeslallvoj|Ngang nhiên đạp nồi cơm nhà người khác , bao gồm cả các đồng minh chủ chốt và các cường quốc đối tác tất sẽ bị phản đối . Qua rồi thời Mỹ muốn làm gì thì làm . Ảo tưởng sức mạnh khiến người ta mù quáng . <URL> Liên minh châu Âu lên án các lệnh trừng phạt của Mỹ đối với Iran , Trung Đông , Vietnam + ( VietnamPlus ) . Tuyên bố chung của Anh , Pháp , Đức và EU nhấn mạnh “ rất lấy làm tiếc và quan ngại về quyết định của Mỹ không gia hạn quyền miễn trừ đối với hoạt động trao đổi dầu mỏ với Iran . " "
train_uaxlgtfpoq|Thân gửi mấy con loz ghét tao . 😏 làm cc gì tao <URL>
train_uwynjnziom|. Cục súc , Mất dạyy , Ngu như con bò , đéo thích lời ngọt ngào , càng chữi nó nó càng cười 🙂 Tuyết Hoa shared a post . <URL> T h ư ơ n g + . • Bố láo vl :v
train_asyjflyijd|Ns thật chứ thấy com boss này hãm vl :v
train_pdxlyomevq|Đờ mờ mấy con mụ hàng xóm ! 😒 có tiếng mà đéo có miếng 😒 <URL>
train_nduqsvvpkw|Sói Con chưa ai chửi mày ngu à
train_gytqqnfvzp|:) Tiên Nguyễn shared a post . <URL> D w a r f . đm đồ biến thái :)
train_dsmnjzumcl|Thang gia toc bac khon nan qua di
train_sikpqomciv|Ann Doan mày chết đi con chó khi mày nói vậy . con chó chết
train_gkxbnweufa|Á đù ! Thế giới có thêm một G8 nữa là nước CHXHCN VIỆT NAM . Hãy tăng giá tất cả lên , nhất là tăng lương lên cho bằng 7G đang có . Á đù trí tuệđỉnh cao , . Nói năng , tính toán khác nào thằng ngu .
train_poslxijquq|Thằng mặt lone Thái đéo mời tao à ?
train_ubwfnzhvgd|Ad thâm dái vl
train_rctnjxesev|Mở mồm ra là bạn thân mà làm bài kiểm tra đéo nhắc nổi lấy 1 chữ . Bạn thân thân ai đấy lo
train_amceptneox|Mẹ , bán được 100 tớ mời muốn gãy lưỡi , lết cặp giò rã rời , bán 3000 tờ . . Ha ha đúng là giọng điệu của thằng ngu như con lợn . .
train_duvgrzsnse|Nguyễn Tuấn Tài mày là con chó nên mới fai thế chứ . Tao làm bạn với cha mẹ mày tao biết mày thế lào .
train_ejvgvimfww|- ) ) ba quá đáng vl
train_ugeweeiqao|Lú như người ta , là đem Giặc Tàu về hại dân hại nước mà cháu . tôn sùng đấy sao ? Chết dân ngộ dzồi .
train_jxkhhvtcdp|Làm cái j cũng dở ẹc , chỉ riêng ăn trộm ăn cắp ăn cướp thì rất xuất sắc . Ai 0 biết thì đừng có chê tụi nó ngu
train_igjaqwjqct|Tội nghiệp con bò , xin phép chửi thề , đm thằng chủ bò
train_rzsgjnabcs|Văn Chính Ân Giờ mày đang comment trên pótcủa tao đó con chó ngu ạ
train_dsurvsrpih|nè con chó , mày khỏi đâm chọt tao , đcm mày thích cc gì ra ngồi nch vs bố mày , mày cay cú ai đéo cần biết ra nch thử tao có đập chết mẹ mày ko con chó .
train_slrdkeeswy|Thằng cc ad nói xạo vl
train_vgrordpnbz|Cứ đập cho thằng tàu khựa no đòn rồi trói gô nó lại giao cho CA đúng sai pháp luật nó sử , mình phải bảo vệdân mình trước đã , mấy thằng lol đứng xem . Tàu khựa là cứ đập rồi tính , tao ghét lũ tàu lol
train_cywyiijsxn|Đúng làcha mẹ ngu đẻ con ngu luôn
train_jylituxtoo|Quá Khứ Rồi dm đứa nào cũng bluan nc chia sẻ hình ảnh sao mày ko vào mà chửi . Mày chửi 1 tao mà ăn cứt tao à ? Đù má mày chứ . Cút xéo
train_dxgwwwfnbt|Mụ lê thị thu hằng rất dốt còn nguy hiểm , hôm kia thì " " quan ngại " " bữa nay yêu cầu các nước đóng góp tích cực là sao ? Mẹ nó lú cho thằng chú nó khôn chứ . Đúng là " " Đĩ già mồm " "
train_tanvhtrkag|Nguyễn Sơn dit thằng cụ tổ nhà mày . Kai loại mày ko biết đọc . Ngu như chó .
train_pvlutrihcj|thật sự 🙂 Nguyen Vu Tram Anh <URL> When I ' m Sad . Ngừi iu tui bố láo vl
train_fruyxvowac|Gần đất xa trời rồi . Để Cho bà con thương . Thằng chó mày chết sớm dđi .
train_cgmpkdemww|Bo k an co bo ngu dang ông k di du Di là ngu hon bo <URL> Phimheo - YouTube
train_pcnvffdqfo|Thằng chó muốn giết dân .
train_fxhiiexgwg|Cu Cu Nam kkkkkkkkkkkk tao pít là mày cay mà . Ko gọi đấy . Làm j tao thì làm . Ahjhj mày là mặt lồn chó Ahjhj . . .
train_tlxeouirxz|Zổm quá tham gia trò chơi giết người thoát chết mà chảnh chó
train_szeymsjnqe|Cứ chửi nó chứ đá với một lũ ngu thì nó đá thế nào được . Ngu nhưng biết phấn đấu thì còn chấp nhận chứ ngu mà nghĩ mình là ngôi sao . Mấy thằng mọi người Anh nó được báo chí với mấy huyền thoại Anh bênh vực nên nó đéo coi ai ra gì . Đá thì như con cặc nhưng mắc bệnh ngôi saoz .
train_abprezceda|- Khôn như tụi bây xóm tao xích đầy ! <URL>
train_pvcfylgdis|Sủa chi có mấy chữ để ng ta vào chửi z ngu lol .
train_jzjxpsrwvs|Mày sợ Fan rút hết trang của mày hay sao mà thua nữa thua mãi ad , đéo ngại mồm à
train_abqeyfwart|Lấy cm của bạn này ko bọn đầu bò lại khó hiểu rồi đi chửi người khác ngu
train_oohzgmdkge|Trang Quynh Nguyen đm làm giá vl
train_mkcuedkjkc|Game phá nhà thì ai phá nhà được thì thắng chứ , ba mẹ mày cho mày ăn cức thay cơm à thằng ngu
train_bevpfaduop|Ý thức như cc , gặp kiểu này ức chế vô cùng .
train_sivuobiwoh|Đm tao thử vậy thôi chứ k thèm . m đủ để để tao chán rồi . tưởng tao thích m lắm chắc . chim cút
train_fajtygroag|cô dâu xấu chết mẹ . . bày đặt tiểu thư danh giá dm . chả lẽ sông phi vào mặt chết cmm <URL> Tʜái ƌộ ‘bánh bao hấp nước’ của cô dâu trong lễ cưới gӓy ᴛrαnh cӓi : Trả hàng về nơi sản xuất gấρ ! . Khi chú rể đang ‘nựng’ má hôn cô dâu thì cô đáp lại bằng gương
train_fqzdsztmtp|Đéo tin bọn con gái . yêu mà đéo có tiền lại kinh nghèo . quen mấy thằng có chút tiền lại lên mặt . chút nó chịch cong ko cưới . lại ôm hận nói con trai ko thật lòng . rồi hận này nọ . thằng nghèo yêu thương thật lại chê . mã cha bọn con gái ngu
train_zzflwjbynv|Chỉ muốn nói thế này , việc đâu còn có đó , chuyện chưa được xác thực thì bình tĩnh đợi công ty phản hồi . . Muốn chửi muốn kháy gì thì mặc nhưng gom chung nghệsĩ nhà này vào chửi một lượt thì liệu hồn ăn đấm không trượt phát nào , chuyện gì ra chuyện đó . . Nghệsĩ nhà này vô can , đừng thừa nước đục thả câu . JYPstánchưa bao giờ tự vỗ ngực " " nhà tao nhân cách vàng " " chính vì sợ có những chuyện nthe này xảy ra , bởi vậy nói bọn này nghiệp quật , tự vả này nọ là hơi sai sai rồi đấy :) . # Tấm <URL>
train_mjspgxmygs|Toàn con lợn thick sủa ngu như chó
train_naopwawpjk|Không . Bọn nó ngu vl
train_fpqqhvwrab|Biết thế ngày xưa t k địt mẹ m . để mẹ m rát lồn đẻ ra thằng óc chó như m .
train_gifmntzykh|Gửi con đĩ hay nói xấu sau lưng ngkhác có gì nói trước mặt tao nè chắc mày không ăn bám gệmày àk mà nói dộng mẹ vậy sao mày biết tao không thương con tao hả bộ mày má tao hay gì cái lồn què gì cũng biết 😏 😏 🤞 🤞 gia đình tao mệt là mệt sao ngon thì nói trước mặt nè con đĩcái 💣 💣 😏 😏 Nhi Khánh Hồng Thủy Xinh Mi Khuyen Truong
train_baltzmwqls|Lại thêm 1 thằng chó chết hại dân
train_acnybcxtag|Vũ Kim Anh m ngu lắm nói thế m éo hiểu đâu
train_ogfkhdlcgr|Nhìn mặt lão nghiêm đểu vl
train_lpoveghpei|Kieu Hao về bảo ông nội m chết đi rỗi đm hãm vl
train_olzantkrzt|K nói thì thôi . Nói để chúng nó chửi cho . Ngu như bò
train_ohqyqtdnzq|Nguyễn Viết Trường : biết phố Phan Đăng Lưu , phố Nguyễn xiển , Trần Duy Hưng , Cầu Giấy . . . và tụi nước ngoài nó gọi Đồ Sơn là gì không ? Biết báo tàu + nó đăng cô dâu Việt Nam bao nhiêu tiền không ? Biết hàng năm có bao nhiêu em gái phải ra xứ người làm cái nghề tủi nhục đó chưa ? Biết vì chủ của những thằng chủ đang cầm cái xích chó trên cổ thằng cu mà bao nhiêu em gái phải làm cái nghề tủi nhục từ Châu Á , qua Châu Âu tới Bắc Mỹ . . . không mà tự hào ? Cầm thử cái passport đi thử một vòng châu Á thôi rồi biết chữ nhục nó lớn cỡ nào nhá thằng đần độn ! . <URL> <URL> <URL> <URL> <URL> <URL>
train_fpddcdjiug|Vũ Thủy mày có nhầm cái máy bay tự chế , tàu ngầm tự chế với cái cày cái cuốc của nông dân không ? Lấy tàu ngầm đem ra ruộng cày để trồng lúa cho mày ăn à , con mẹ mày vừa già vừa ngu
train_dfpmvxtduo|Nguyễn Ngọc Thắng mày thích mày đem vô rừng mày hát đi , ai cấm mày , phát biểu như dân nhà quê
train_rrezfsnmcp|Thân gửi c Facebook meo meo hay méo méo j đấy ! ! ! Chắc c rảnh quá đặt hàng cho vui xong bom hàng bận rộn hả ? . Mệt mỏi với c quá , khổ cả con bán hàng mà khổ cả ngta đi ship cho c 5 , 6l ko đc . Chào thân ái quyết thắng , mong ko gặp lại c ! . Thân <URL>
train_loyaxgkcpu|Đúng dồi , đạo đức giả
train_jxvuvnuyfs|Thằng chủ tútranh luận tỏ ra hiểu biết . Nhưng thực chất chả biết đầu cu gì . Phân tích nguy hiểm vl
train_mdefdpxtem|Trần Thống chuẩn luôn bạn ạ . Ngáo ngơ cái dm mày ạ . Nó lùi nhanh như thế bố mày đội mồ sống dậy cũng đéo kịp . Clm mày ăn nói ngu như con chó
train_lnhinydauq|Bọn đàn ông ích kỉ vl
train_xhnafzimli|Huỳnh Lý shared a post . <URL> Hoàng . Tôi không thích gì Liên Quân vì cơ chế game ko hay . Nhưng chơi với bạn gái thì lại khác . . . Cho đến khi nó chửi tôi ngu như chó !
train_bhdzwivgor|Phân tích dài vl xúc tích mỗi tội ngu vl
train_cakhtxwccg|Nguyễn Phương Anh dcm lừa dối vl
train_fnubndhcvs|Bạn văn rảnh vl
train_sskxrgbzue|Chung Đặng đm chó có đuôi ng có ý thức nhé , địt mẹ con chó đã đéo có văn hoá đuôi cũng rụng nốt . sống làm lồn gì chật đất tốn oxi , con cái phải chịu sự giáo dục của 1 con súc vật đéo có tính g
train_hfudastyjj|ad trang này trẻ trâu vl ra
train_hsmhxrvwwz|Viết tiếng mẹ đẻ còn chưa xong sai chính tả tùm lum . Chửi đéo lại bày đặt đánh nhau . Thế mày đang dùng lồn mẹ mày viết à , hay mày dùng phím mà viết chữ xấu thế
train_lgzrquafoh|Bố cái thằng rẻ rách của xã hội . Con vk mày nó bỏ mày chả sai tí đéo nào . Loại đàn ông hãm lol
train_jhprjnusco|Đập quán xong rồi còn phải đâp chủ quán cho chết mẹ nó di
train_lxpctpmplw|Ngô Việt Vương dân nói sai thì vẫn phải xử lí nhé . Để lũ ngu làm chủ thì ăn lol à
train_kubcoeeeei|Trên mạng triết lý bên ngoài sống lỗi vl :3 3
train_xkmekuvsxc|Trịnh Đức Thịnh ngu ngu ngu
train_ffbkggpczh|Bửn vcl . Xúc phạm bộ mi nối vl 🤧 🤧
train_pioxhoyroi|Ace tránh cái shop lừa đảo lớn nhất vịnh Vắc Bộ này ra nhé . ! . Nó lừa nhiều người lắm rồi đấy . T tính nhây thêm chút nữa để con đang ib với tt nó điên lên vì khách nhưng thôi . T buồn ngủ quá nên cho nó biết luôn là nó đang bị t lừa . + ) ) . Mục đích của t là để nó cảm nhận bị ng . kh lừa là ntn . Mà giám gan to đi lừa tiền của mn trên mạng xh như thế . . Làm ăn đell uy tín thì thôi mà ranh con còn to cmn mõm . <URL> Photófrom Lành Hiến ' s post
train_kfdvloxpas|Mông to . 🤣 🤣 🤣 🤣 xấu vl
train_gussxhaczz|Bộ tưởng đẹp là ngon à làm vậy rồi ai đụ m hả con lol
train_yknnpinmqe|Đm ! Kèo làm con cặc gì . Cỡ 4tr có cái lồn mà ultral đm . Đã ngu lại thích nguy hiểm đm . . Cứ vào game chơi combat là biết ngay . Đm cứ vào game xong núp thì đm đến 98 % đéo drop nữa là . . Chơi game là phải combat còn mà đéo chơi đc thì óc bò rồi đm ngu
train_aumwdiheyf|Bùi Thiêm Nước bạn ? Riêng cái bọn phân biệt vùng miền trên thế giới này đa phần là bọn cặn bã . Bọn tao cũng có xin của chúng mày cái gì đâu . Lũ bại hoại nói chuyện vừa ngu vừa óc lợn
train_fruikbmcth|Mấy thằng này phải cho xã hội nó đánh cho k truoẹtphát nào Nguyễn Thu Huyền <URL> Lã Hải Anh . Đéo có gì là mãi mãi . Đời này làm đéo có tình yêu vĩnh cửu . 1 lần là nhỡ tay nóng giận . 2 lần là thói quen . 3 lần trở lên nó thuộc về bản chất . Tôi sợ con người anh . Vẻ ngoài đạo mạo nho nhã ấy . Nhưng khi ở nhà anh là 1 con thú độc ác tàn nhẫn không chút tình người . Những lời anh buông ra . Những trận đòn của anh . Có chết tôi cũng ko bao h quên . Đàn ông kém cỏi ko đáng trách . Nhưng đã bất tài lại còn vũ phu bội bạc thì anh không bh xứng đáng là 1 thằng đàn ông
train_wvfwdachxf|Trịnh Kiều Dung Nhỏ ng chứ cho na táp :) . Có ăn có học mà nói như con ngu lol rứa đuỹ
train_nrcmdwygtz|Con người gì đéo biết nhục . cứ ám tao suốt , một khi tao đã ghét thì khó sống lắm , tao kiu đừng phiền tao nữa chặn Facebook tao đéo biết nhục đm <URL>
train_mysimsjppi|Nhật Tiến khẩu lồn má mày tao vặp mày tai tống chét mẹ mày
train_qylpokbsbq|Đầu sạch gầu phong tê thấp . Mày bị phong tê thấp . Dòng họ mày bị phong tê thấp . . Cục xì dầu ăn bê lắm . Cục xì dầu là ăn bê lắm . . Nào mình cùng đi xe bus . Đitme bọn đi xe khách . . Bò 1 sừng là con tê giác . . Người càng giàu bị phong tê thấp . Mà càng nhiều tiền thì càng nhanh chết . . Bọn xàm lol thì hay nhanh chết . Mà càng xàm lol thì càng nhanh chết . . Cục xì lầu ông bê lắp . Cục xì lầu là ông bê lắp . Nguồn : fb
train_batswbrtix|Nam Tô không nói có lẽ ko ai biết mày ngu đâu . 🐷
train_clawgdasbi|Sao lại ví ngu như chó thế Bố Chivas . Chó hơi bị khôn đấy nhé . Phải nói ngu nhu heo hihi
train_luocbwpdxp|Bố nó mà đấm trượt phát nào thì tao đéo tin
train_gcdjnjgvar|Nam Phạm giếng lol đó có nước đâu mà ún :) . . nó xạo lol đó thằng ngu
train_ncasofzutm|Ex trộm chó ae nào ko trộm bán ẽđi Bùi Toàn <URL> Huynh . KIẾP TRỘM CHÓ . Làm nháy công không được bao nhiêu nên anh em rủ nhau đi trộm chó :( . Nhưng đen quá . : " " Không sợ kẻ địch mạnh chỉ sợ đồng đội ngu như bò . " " . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - . Ý tưởng : Đạt Thành . Mod : Thành Đạt - Hải Anh : Trộm Chó . Nguyễn Xuân Trung : Anh chủ nhà Ế vợ . Chó con : Chó . Foto : Hưng Kạt - Huynh Anh
train_arraktwtad|Lợi thì được lợi nhưng răng không còn thằng chó ngu
train_gpmnoltumm|chết thì chết mình mày thôi thằng ngu
train_ganiylksjq|Trần Tuấn Tú Đm , con cuốn chiếu chứ con lol gì ! Chửi cm thằng ad cho tao !
train_apclojnzge|Trung Thu nhùn mặt mày hãm vãi lol
train_vlqigykvlu|cán bộ chúng mày lương cao tham nhũng đc nhiều tỉ cho nên có tăng tiền điện nên vài trăm ngàn một tháng Cũng Chẳng nhằm nhò gì nhưng đối với dân đen thì mất đi là nhiều thứ trong sinh hoạt đấy thằng ngu à
train_idgyavixzm|Địt mẹ mày bạn thân khác giới . Mày mà địt người yêu tao đới . Là bà mày đập cho tơi bời
train_iwzkoifbod|Rất là ghét những đứa coi thường tao và gia đình tao 😅 😅 😅 😅 . Hơn đk ai mà sỹ Oanh Nguyễn ífeeling sad .
train_nuswzuwghi|Nguyễn Thị Hồng Nhung dm bố lại kêu bọn đi ẽlôi m đi giờ con chó ak
train_tzetpmitvs|Bọn nhà báo hay dùng từ dân mong muốn . mẹ chúng mày muốn thì có . dân mong muốn lũ khốn chúng mày chết đi chứ khoẻ làm lol j
train_yfeszmbdbk|Mình là mình không biết bạn là ai nhưng bạn có thì ăn ên đi mình không ăn chung dí bạn đâu không ngờ lớp mình lại có người dơ như bạn . <URL>
train_hvpsrjowuw|May thang cho luoi lao dong , nguoi ta chay tãidc bao nhieu tien . Tiem vang , ngan hang nhieu tien kia . Có đầu lúc lắc với người ta thôi , óc là óc chó
train_awbnxqddey|Nói về trận đấu đấy thì liên quan cl gì đến CR7 hả thằng ngu ?
train_nfmwkzzniu|quân ngu hỏi thừa vl
train_gjmzgyewla|Con phò này cmt nhanh vl
train_yqvjrccmtk|Già rồi không nên dửng mỡ , mất hay . Trẻ không chơi , già đổ đốn đàn đúm .
train_gjquaccrdl|gặp gái đã run và đéo nói đk gì , xamlol trên fb thì giỏi vl .
train_sbhlqjjokq|Vì bọn nó bẩn vl :)
train_syblcobhsd|3 con tởm . ngu vl
train_ujdjlctbqi|Trần Thiên Tử thằng nào sl sl là đm bật nhẹ lên
train_gzkxhvaljt|Lương Mạnh Hà nhin \ ma ( t . may \ xa ^ u’ giong y nhu * con ca ( c . cua ? tha ( ng \ ho ^ \ hen \ gi \ may \ ngu ho * n tha ( ng \ ho ^ \
train_nnfelcobcg|Tiến Tạ Đình thằng nào ngu thằng đó qua :) qua đó rồi thì lãnh đạo đéo ji nữa m ngu lắm
train_mlcniaqdfh|Thư Apple <URL> Hóng hớt Channel . Tao đập chết cha mày bây giờ =) mặt tao để mày nghịch à . . # honghotchannel . . # ngochuong
train_inskyebbbd|Mỹ Nhân con đĩ rên ngứa cu vl
train_dyyflgbdei|Tinh Van Đinh loại đàn bà không nhục à , vô cả trang cá nhân soi mói đời tư người khác rồi chửi cả dòng họ :) bố mày có sai cũng đéo sai với mày dòng họ tao cũng đéo sai với m ok , m có thể lớn tuổi hơn tao nhưng cái óc m thì không hơn được tao đâu . ! Thân
train_adwfveyfqh|Đm mấy thằng trộm chúng m hay lắm . Bố vớ đc thì xác định đi . lấy đt bố mày mấy con chó .
train_wddswrppnh|Gửi lời tới mấy con ngừoi éo có cuộc sống đẹp . Đụ mẹ tụi bay lũ lol 🤯 🤯 🤯
train_wfbfwlpplp|Mẹ nếu thật sự có sờ đùi thì đập 1 trận rồi thôi . . . chứ gia đình người ta làm lol gì giết . . . làm như cái lol nó có giá lắm ko bằng con đĩ lol
train_yxborocwsu|Hồ Ngọc Thuỳ con đĩ chó nhà m =)
train_hhjczixvau|Địt mẹ mày , tao cứ tưởng mày còn chút lương tri làm người chứ . Mất công vào chát với mày , thằng già mắc dịch .
train_pqmyiowvlw|Đức Phạm nói cho để mày bớt óc chó thôi :) . Ngu
train_lenzozjoay|Bọn chạy điểm lên làm lãnh đạo
train_wqctphovmk|Nguyễn Minh Hiếu tao khép đít tao lạy mày đấy
train_cxeuxkpypb|đây là kinh nghiệm cách sống làm việt của CB NN ta thời nay . . . tao đéo tin cb nói .
train_bodbufcsnj|1’ bồng bột Linh Lê <URL> Bê Đê Séo Xắc . Các bạn ơi khi các bạn thấy một cô gái quyết định cắt tóc thì ko có nghĩa là cô ý đang buồn hay thất tình đâu mà là cô gái ấy bị nứng lồz , bị một thế lực thù địch ma xui quỷ khiến nào đó làm cô nhồng lên đi cắt tóc và giờ cô đang căm vãi cả lồn khi nghĩ đến những lời đùa cợt của mấy con đĩ bạn thân ở lớp vì mái tóc cô giờ đây nhìn đéo khác gì cái đb cuốn giẻ . . . Mai có khi cô phải mang theo súng . Con nào há mồm ra chê cô sẽ đục vào mồm chúng nó . Hoặc bóc phốt trên Group MỒM CUỐN LÔ . . . <URL>
train_hqvqkyamrw|Tống Hải con người với nhau m đi làm gặp sự cố ng ta chửi m zj m nghĩ sao hả thằng óc chó . Sống đéo để đức thì con cháu m lấy cái đéo zj mà sống hả
train_gynydszetr|Việt anh ơi lỗi nhục này không phải chỉ một mình mày phải chịu dâu . Mà cả dòng họ nhà mày phải chịu . Nhất là Bố Mẹ mày vợ con mày họ làm gỉ lên tội mà mày bêu điêu làm nhục h . Nhất là tội nghiệp cho vợ và hai đứa con mày nó phải chịu đựng những cái điều nhục nhã là phải là vợ là con của mày . Thằng khốn nạn việt anh sao mày làm việc bỉ ổi đó mày k nghỉ đến Bố Mẹ vợ con mày à . Đấy là mày ở Lào Cai chứ mày ở thành phố lớn thì mày da đường thỉ mày chết mẹ mày dồi thằng chó
train_eqizmkfxiu|Tạ Văn Bính chui vào hang chó làm gì ông ơi . Nghe sủa nhức lỗ đít lắm . Mình cứ kiếm ng mà nói chuyện thôi kệbọn chó .
